Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","138","Mexico","5510","Production","108","Cereals nes","2018","2018","tonnes","7115","","Official data"
"QC","Crops","138","Mexico","5312","Area harvested","531","Cherries","2018","2018","ha","48","","Official data"
"QC","Crops","138","Mexico","5419","Yield","531","Cherries","2018","2018","hg/ha","37020","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","531","Cherries","2018","2018","tonnes","178","","Official data"
"QC","Crops","138","Mexico","5312","Area harvested","191","Chick peas","2018","2018","ha","194370","","Official data"
"QC","Crops","138","Mexico","5419","Yield","191","Chick peas","2018","2018","hg/ha","18099","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","191","Chick peas","2018","2018","tonnes","351796","","Official data"
"QC","Crops","138","Mexico","5312","Area harvested","689","Chillies and peppers, dry","2018","2018","ha","31590","Im","FAO data based on imputation methodology"
"QC","Crops","138","Mexico","5419","Yield","689","Chillies and peppers, dry","2018","2018","hg/ha","19233","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","689","Chillies and peppers, dry","2018","2018","tonnes","60755","Im","FAO data based on imputation methodology"
"QC","Crops","138","Mexico","5312","Area harvested","401","Chillies and peppers, green","2018","2018","ha","156799","","Official data"
"QC","Crops","138","Mexico","5419","Yield","401","Chillies and peppers, green","2018","2018","hg/ha","215517","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","401","Chillies and peppers, green","2018","2018","tonnes","3379289","","Official data"
"QC","Crops","138","Mexico","5312","Area harvested","698","Cloves","2018","2018","ha","","M","Data not available"
"QC","Crops","138","Mexico","5510","Production","698","Cloves","2018","2018","tonnes","","M","Data not available"
"QC","Crops","138","Mexico","5312","Area harvested","661","Cocoa, beans","2018","2018","ha","58361","","Official data"
"QC","Crops","138","Mexico","5419","Yield","661","Cocoa, beans","2018","2018","hg/ha","4866","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","661","Cocoa, beans","2018","2018","tonnes","28399","","Official data"
"QC","Crops","138","Mexico","5312","Area harvested","249","Coconuts","2018","2018","ha","185708","Im","FAO data based on imputation methodology"
"QC","Crops","138","Mexico","5419","Yield","249","Coconuts","2018","2018","hg/ha","62381","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","249","Coconuts","2018","2018","tonnes","1158471","Im","FAO data based on imputation methodology"
"QC","Crops","138","Mexico","5312","Area harvested","656","Coffee, green","2018","2018","ha","629799","","Official data"
"QC","Crops","138","Mexico","5419","Yield","656","Coffee, green","2018","2018","hg/ha","2514","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","656","Coffee, green","2018","2018","tonnes","158325","*","Unofficial figure"
"QC","Crops","138","Mexico","5510","Production","767","Cotton lint","2018","2018","tonnes","400000","F","FAO estimate"
"QC","Crops","138","Mexico","5510","Production","329","Cottonseed","2018","2018","tonnes","600000","*","Unofficial figure"
"QC","Crops","138","Mexico","5312","Area harvested","397","Cucumbers and gherkins","2018","2018","ha","19597","","Official data"
"QC","Crops","138","Mexico","5419","Yield","397","Cucumbers and gherkins","2018","2018","hg/ha","547048","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","397","Cucumbers and gherkins","2018","2018","tonnes","1072048","","Official data"
"QC","Crops","138","Mexico","5312","Area harvested","577","Dates","2018","2018","ha","1573","","Official data"
"QC","Crops","138","Mexico","5419","Yield","577","Dates","2018","2018","hg/ha","56888","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","577","Dates","2018","2018","tonnes","8946","","Official data"
"QC","Crops","138","Mexico","5312","Area harvested","399","Eggplants (aubergines)","2018","2018","ha","2330","","Official data"
"QC","Crops","138","Mexico","5419","Yield","399","Eggplants (aubergines)","2018","2018","hg/ha","771069","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","399","Eggplants (aubergines)","2018","2018","tonnes","179656","","Official data"
"QC","Crops","138","Mexico","5312","Area harvested","569","Figs","2018","2018","ha","1194","","Official data"
"QC","Crops","138","Mexico","5419","Yield","569","Figs","2018","2018","hg/ha","64523","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","569","Figs","2018","2018","tonnes","7705","","Official data"
"QC","Crops","138","Mexico","5312","Area harvested","512","Fruit, citrus nes","2018","2018","ha","39888","Im","FAO data based on imputation methodology"
"QC","Crops","138","Mexico","5419","Yield","512","Fruit, citrus nes","2018","2018","hg/ha","46198","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","512","Fruit, citrus nes","2018","2018","tonnes","184277","Im","FAO data based on imputation methodology"
"QC","Crops","138","Mexico","5312","Area harvested","619","Fruit, fresh nes","2018","2018","ha","77092","Im","FAO data based on imputation methodology"
"QC","Crops","138","Mexico","5419","Yield","619","Fruit, fresh nes","2018","2018","hg/ha","68363","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","619","Fruit, fresh nes","2018","2018","tonnes","527028","Im","FAO data based on imputation methodology"
"QC","Crops","138","Mexico","5312","Area harvested","603","Fruit, tropical fresh nes","2018","2018","ha","48054","Im","FAO data based on imputation methodology"
"QC","Crops","138","Mexico","5419","Yield","603","Fruit, tropical fresh nes","2018","2018","hg/ha","99700","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","603","Fruit, tropical fresh nes","2018","2018","tonnes","479097","Im","FAO data based on imputation methodology"
"QC","Crops","138","Mexico","5312","Area harvested","406","Garlic","2018","2018","ha","7348","","Official data"
